学科,权值,完成情况,学习时间
Linux,8.7,2,1.5
模电,8.7,2,1.5
学术英语,8.5,2,1.5
深度学习,8.5,2,1.5
日语,8.5,2,1.5
STL,8.5,2,1.5
js,8.5,0.0,0.0
日常英语,8.5,0.0,0.0
数据库,8.4,0.0,0.0
信号与系统,8.4,0.0,0.0
概率_随机,8.4,0.0,0.0
python,8.4,0.0,0.0
电磁,8.4,0.0,0.0
个人博客，hexo,8.4,0.0,0.0
clang,8.2,0.0,0.0
开源软件,8.2,0.0,0.0
微机_接口,8.2,0.0,0.0
通信_网络,8.2,0.0,0.0
游戏开发,8.2,0.0,0.0
毛概,8.2,0.0,0.0
习思,8.2,0.0,0.0
docker,8.2,0.0,0.0
