学科,权值,完成情况,学习时间
STL,10.8,2,1.5
js,10.8,2,1.5
学术英语,10.8,2,1.5
日常英语,10.8,2,1.5
深度学习,10.8,2,1.5
日语,10.8,2,1.5
电磁,10.7,0.0,0.0
python,10.7,0.0,0.0
个人博客，hexo,10.7,0.0,0.0
数据库,10.7,0.0,0.0
信号与系统,10.7,0.0,0.0
概率_随机,10.7,0.0,0.0
clang,10.5,0.0,0.0
docker,10.5,0.0,0.0
开源软件,10.5,0.0,0.0
Linux,10.5,0.0,0.0
习思,10.5,0.0,0.0
微机_接口,10.5,0.0,0.0
通信_网络,10.5,0.0,0.0
模电,10.5,0.0,0.0
毛概,10.5,0.0,0.0
游戏开发,10.5,0.0,0.0
