学科,权值,完成情况,学习时间
模电,6.0,,
STL,6.0,,
信号与系统,5.9,,
python,5.9,,
数据库,5.9,,
通信_网络,5.9,,
Linux,5.9,,
习思,5.9,0,0
微机_接口,5.7,0,0
深度学习,5.7,0,0
js,5.7,0,0
clang,5.7,0,0
毛概,5.7,0,0
算法,5.7,0,0
个人博客，hexo,5.6,0,0
学术英语,5.5,0,0
概率_随机,5.4,0,0
开源软件,5.4,0,0
docker,5.4,0,0
游戏开发,5.4,0,0
FFmpeg,5.4,0,0
日常英语,5.2,0,0
日语,5.2,0,0
电磁,4.9,0,0
