学科,权值,完成情况,学习时间
开源软件,8.0,2,1.5
微机_接口,8.0,2,1.5
习思,8.0,2,1.5
毛概,8.0,2,1.5
游戏开发,8.0,2,1.5
通信_网络,8.0,2,1.5
Linux,8.0,0.0,0.0
模电,8.0,0.0,0.0
深度学习,7.8,0.0,0.0
日语,7.8,0.0,0.0
STL,7.8,0.0,0.0
学术英语,7.8,0.0,0.0
js,7.8,0.0,0.0
日常英语,7.8,0.0,0.0
个人博客，hexo,7.7,0.0,0.0
数据库,7.7,0.0,0.0
电磁,7.7,0.0,0.0
python,7.7,0.0,0.0
概率_随机,7.7,0.0,0.0
信号与系统,7.7,0.0,0.0
clang,7.5,0.0,0.0
docker,7.5,0.0,0.0
