学科,权值,完成情况,学习时间
数据库,16.0,2,1.5
概率_随机,16.0,2,1.5
开源软件,15.8,2,1.5
微机_接口,15.8,2,1.5
毛概,15.8,2,1.5
模电,15.8,2,1.5
游戏开发,15.8,0.0,0.0
docker,15.8,0.0,0.0
clang,15.8,0.0,0.0
Linux,15.8,0.0,0.0
习思,15.8,0.0,0.0
通信_网络,15.8,0.0,0.0
学术英语,15.6,0.0,0.0
日常英语,15.6,0.0,0.0
日语,15.6,0.0,0.0
深度学习,15.6,0.0,0.0
STL,15.6,0.0,0.0
js,15.6,0.0,0.0
信号与系统,15.5,0.0,0.0
个人博客，hexo,15.5,0.0,0.0
python,15.5,0.0,0.0
电磁,15.5,0.0,0.0
