学科,权值,完成情况,学习时间
学术英语,13.1,2,1.5
深度学习,13.1,2,1.5
日语,13.1,2,1.5
js,13.1,2,1.5
个人博客，hexo,13.0,2,1.5
概率_随机,13.0,2,1.5
python,13.0,0.0,0.0
数据库,13.0,0.0,0.0
信号与系统,13.0,0.0,0.0
电磁,13.0,0.0,0.0
开源软件,12.8,0.0,0.0
毛概,12.8,0.0,0.0
模电,12.8,0.0,0.0
通信_网络,12.8,0.0,0.0
clang,12.8,0.0,0.0
微机_接口,12.8,0.0,0.0
Linux,12.8,0.0,0.0
docker,12.8,0.0,0.0
游戏开发,12.8,0.0,0.0
习思,12.8,0.0,0.0
STL,12.6,0.0,0.0
日常英语,12.6,0.0,0.0
