学科,权值,完成情况,学习时间
Linux,10.3,2,1.5
习思,10.3,2,1.5
毛概,10.3,2,1.5
模电,10.3,2,1.5
通信_网络,10.3,2,1.5
微机_接口,10.3,2,1.5
js,10.1,0.0,0.0
学术英语,10.1,0.0,0.0
日常英语,10.1,0.0,0.0
深度学习,10.1,0.0,0.0
日语,10.1,0.0,0.0
STL,10.1,0.0,0.0
数据库,10.0,0.0,0.0
信号与系统,10.0,0.0,0.0
概率_随机,10.0,0.0,0.0
电磁,10.0,0.0,0.0
个人博客，hexo,10.0,0.0,0.0
python,10.0,0.0,0.0
开源软件,9.8,0.0,0.0
docker,9.8,0.0,0.0
clang,9.8,0.0,0.0
游戏开发,9.8,0.0,0.0
