学科,权值,完成情况,学习时间
模电,14.2,2,1.5
习思,14.2,2,1.5
游戏开发,14.2,2,1.5
docker,14.2,2,1.5
开源软件,14.2,2,1.5
Linux,14.2,2,1.5
通信_网络,14.2,0.0,0.0
clang,14.2,0.0,0.0
学术英语,14.0,0.0,0.0
日常英语,14.0,0.0,0.0
日语,14.0,0.0,0.0
js,14.0,0.0,0.0
深度学习,14.0,0.0,0.0
STL,14.0,0.0,0.0
概率_随机,13.9,0.0,0.0
python,13.9,0.0,0.0
数据库,13.9,0.0,0.0
电磁,13.9,0.0,0.0
信号与系统,13.9,0.0,0.0
个人博客，hexo,13.9,0.0,0.0
微机_接口,13.7,0.0,0.0
毛概,13.7,0.0,0.0
