学科,权值,完成情况,学习时间
概率_随机,11.4,2,1.5
电磁,11.4,2,1.5
python,11.4,2,1.5
个人博客，hexo,11.4,2,1.5
数据库,11.4,2,1.5
信号与系统,11.4,2,1.5
开源软件,11.2,0.0,0.0
毛概,11.2,0.0,0.0
模电,11.2,0.0,0.0
通信_网络,11.2,0.0,0.0
微机_接口,11.2,0.0,0.0
习思,11.2,0.0,0.0
Linux,11.2,0.0,0.0
游戏开发,11.2,0.0,0.0
docker,11.2,0.0,0.0
clang,11.2,0.0,0.0
js,11.0,0.0,0.0
日语,11.0,0.0,0.0
深度学习,11.0,0.0,0.0
日常英语,11.0,0.0,0.0
学术英语,11.0,0.0,0.0
STL,11.0,0.0,0.0
