学科,权值,完成情况,学习时间
js,9.2,2,1.5
日常英语,9.2,2,1.5
python,9.1,2,1.5
数据库,9.1,2,1.5
信号与系统,9.1,2,1.5
概率_随机,9.1,2,1.5
电磁,9.1,0.0,0.0
个人博客，hexo,9.1,0.0,0.0
开源软件,8.9,0.0,0.0
习思,8.9,0.0,0.0
毛概,8.9,0.0,0.0
游戏开发,8.9,0.0,0.0
通信_网络,8.9,0.0,0.0
微机_接口,8.9,0.0,0.0
Linux,8.9,0.0,0.0
clang,8.9,0.0,0.0
模电,8.9,0.0,0.0
docker,8.9,0.0,0.0
STL,8.7,0.0,0.0
日语,8.7,0.0,0.0
深度学习,8.7,0.0,0.0
学术英语,8.7,0.0,0.0
