学科,权值,完成情况,学习时间
深度学习,6.9,2,1.5
js,6.9,2,1.5
STL,6.9,2,1.5
学术英语,6.9,2,1.5
信号与系统,6.8,2,1.5
个人博客，hexo,6.8,2,1.5
数据库,6.8,0.0,0.0
电磁,6.8,0.0,0.0
概率_随机,6.8,0.0,0.0
python,6.8,0.0,0.0
游戏开发,6.6,0.0,0.0
docker,6.6,0.0,0.0
开源软件,6.6,0.0,0.0
Linux,6.6,0.0,0.0
模电,6.6,0.0,0.0
clang,6.6,0.0,0.0
通信_网络,6.6,0.0,0.0
毛概,6.6,0.0,0.0
习思,6.6,0.0,0.0
微机_接口,6.6,0.0,0.0
日常英语,6.4,0.0,0.0
日语,6.4,0.0,0.0
